Rank,Company Name,Number of Employees,Change in Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions),Market Value As of 3/29/19 ($m),Year
231,Estee Lauder,"46,000",27,"$13,683.00",15.70%,"$1,108.00",-11.30%,"$12,567.00","$59,791.00",2019
232,DISH Network,"16,000",-29,"$13,621.00",-5.40%,"$1,575.10",-24.90%,"$30,587.00","$14,828.00",2019
233,Stryker,"36,000",7,"$13,601.00",9.30%,"$3,553.00",248.30%,"$27,229.00","$73,696.00",2019
234,Kellogg,"34,000",-8,"$13,547.00",4.80%,"$1,336.00",5.30%,"$17,780.00","$19,723.00",2019
235,Biogen,"7,800",10,"$13,453.00",9.60%,"$4,430.70",74.50%,"$25,289.00","$46,498.00",2019
236,Alcoa,"14,000",26,"$13,403.00",15.00%,$227.00,4.60%,"$15,938.00","$5,224.00",2019
237,Anadarko Petroleum,"4,700",20,"$13,382.00",12.40%,$615.00,-,"$40,376.00","$22,828.00",2019
238,Dominion Energy,"16,100",-5,"$13,366.00",6.20%,"$2,447.00",-18.40%,"$77,914.00","$61,282.00",2019
239,ADP,"57,000",4,"$13,326.00",7.60%,"$1,620.80",-6.50%,"$37,089.00","$69,588.00",2019
240,salesforce.com,"35,000",45,"$13,282.00",26.70%,"$1,110.00",770.70%,"$30,737.00","$122,103.00",2019
241,L Brands,"57,200",-10,"$13,237.00",4.80%,$643.90,-34.50%,"$8,090.00","$7,590.00",2019
242,Henry Schein,"22,600",-4,"$13,202.00",5.90%,$535.90,31.90%,"$8,501.00","$9,101.00",2019
243,Newell Brands,"37,000",-47,"$13,033.00",-11.60%,"-$6,917.90",-351.70%,"$17,716.00","$6,490.00",2019
244,Guardian Life Ins. Co. of America,"9,556",-5,"$13,015.00",4.50%,$464.90,2.10%,"$74,053.00",-,2019
245,BJ's Wholesale Club,"26,383",-,"$13,007.00",2.00%,$127.30,153.00%,"$3,239.00","$3,777.00",2019
246,BB&T Corp.,"35,852",4,"$12,996.00",6.90%,"$3,237.00",35.20%,"$225,697.00","$35,541.00",2019
247,State Street Corp.,"40,142",12,"$12,973.00",10.20%,"$2,599.00",19.40%,"$244,626.00","$24,920.00",2019
248,Viacom,"10,880",-27,"$12,943.00",-2.40%,"$1,719.00",-8.30%,"$23,783.00","$11,531.00",2019
249,Ameriprise Financial,"14,062",3,"$12,924.00",7.00%,"$2,098.00",41.80%,"$137,216.00","$17,345.00",2019
250,Core-Mark Holding,"8,087",-3,"$12,904.00",5.60%,$45.50,35.80%,"$1,666.00","$1,703.00",2019
251,Reinsurance Group of America,"2,767",-17,"$12,876.00",2.90%,$715.80,-60.70%,"$64,535.00","$8,922.00",2019
252,VF,"69,000",-10,"$12,862.00",3.70%,$658.60,7.10%,"$10,311.00","$34,382.00",2019
253,Discover Financial Services,"16,600",10,"$12,848.00",11.30%,"$2,742.00",30.60%,"$109,553.00","$23,215.00",2019
254,Global Partners,"2,500",77,"$12,673.00",42.10%,$103.90,76.90%,"$2,424.00",$668.00,2019
255,Edison International,"12,574",-11,"$12,657.00",2.70%,-$423.00,-174.90%,"$56,715.00","$20,174.00",2019
256,Oneok,"2,684",-7,"$12,593.00",3.40%,"$1,151.70",197.00%,"$18,232.00","$28,747.00",2019
257,Murphy USA,"6,800",22,"$12,524.00",15.40%,$213.60,-12.90%,"$2,361.00","$2,756.00",2019
258,Bed Bath & Beyond,"65,000",-10,"$12,349.00",1.10%,$424.90,-38.00%,"$7,041.00","$2,336.00",2019
259,Consolidated Edison,"15,307",-4,"$12,337.00",2.50%,"$1,382.00",-9.40%,"$53,920.00","$27,231.00",2019
260,CSX,"22,475",5,"$12,250.00",7.40%,"$3,309.00",-39.50%,"$36,729.00","$60,805.00",2019
261,J.C. Penney,"95,000",-26,"$12,019.00",-3.90%,-$255.00,-,"$7,721.00",$471.00,2019
262,LKQ,"51,000",38,"$11,877.00",20.60%,$480.10,-10.00%,"$11,393.00","$8,926.00",2019
263,FirstEnergy,"12,494",-44,"$11,864.00",-12.90%,"$1,348.00",-,"$40,063.00","$22,060.00",2019
264,Steel Dynamics,"8,200",48,"$11,822.00",23.90%,"$1,258.40",54.80%,"$7,704.00","$7,863.00",2019
265,Lithia Motors,"13,643",29,"$11,821.00",17.20%,$265.70,8.40%,"$5,384.00","$2,147.00",2019
266,MGM Resorts International,"74,500",14,"$11,763.00",9.20%,$466.80,-76.20%,"$30,211.00","$13,777.00",2019
267,Tenneco,"81,000",53,"$11,763.00",26.80%,$55.00,-73.40%,"$13,232.00","$1,793.00",2019
268,Nvidia,"13,277",38,"$11,716.00",20.60%,"$4,141.00",35.90%,"$13,292.00","$108,813.00",2019
269,Sempra Energy,"16,823",2,"$11,687.00",4.30%,"$1,049.00",309.80%,"$60,638.00","$34,509.00",2019
270,Farmers Insurance Exchange,"12,740",-17,"$11,650.00",-3.50%,-$70.50,-,"$17,016.00",-,2019
271,Ball,"17,500",6,"$11,635.00",5.90%,$454.00,21.40%,"$16,554.00","$19,335.00",2019
272,Group 1 Automotive,"14,570",1,"$11,601.00",4.30%,$157.80,-26.10%,"$5,001.00","$1,187.00",2019
273,Unum Group,"9,600",-6,"$11,599.00",2.80%,$523.40,-47.40%,"$61,876.00","$7,261.00",2019
274,Xcel Energy,"11,068",-8,"$11,537.00",1.20%,"$1,261.00",9.80%,"$45,987.00","$28,904.00",2019
275,Reliance Steel & Aluminum,"15,600",30,"$11,535.00",18.70%,$633.70,3.30%,"$8,045.00","$6,055.00",2019
276,Huntsman,"10,000",6,"$11,527.00",8.80%,$337.00,-47.00%,"$7,953.00","$5,252.00",2019
277,Norfolk Southern,"26,662",7,"$11,458.00",8.60%,"$2,666.00",-50.70%,"$36,239.00","$49,860.00",2019
278,Laboratory Corp. of America,"61,000",8,"$11,333.00",8.50%,$883.70,-30.30%,"$16,185.00","$15,096.00",2019
279,Corning,"51,500",14,"$11,290.00",11.60%,"$1,066.00",-,"$27,505.00","$25,991.00",2019
280,Expedia Group,"24,500",15,"$11,223.00",11.60%,$406.00,7.40%,"$18,033.00","$17,516.00",2019
281,AutoZone,"72,450",-3,"$11,221.00",3.10%,"$1,337.50",4.40%,"$9,347.00","$25,488.00",2019
282,W.W. Grainger,"23,850",5,"$11,221.00",7.60%,$782.00,33.50%,"$5,873.00","$16,733.00",2019
283,Quanta Services,"39,200",33,"$11,171.00",18.00%,$293.30,-6.90%,"$7,076.00","$5,336.00",2019
284,Crown Holdings,"33,429",54,"$11,151.00",28.20%,$439.00,35.90%,"$15,262.00","$7,385.00",2019
285,Office Depot,"44,000",-4,"$11,130.00",3.50%,$104.00,-42.50%,"$6,166.00","$1,972.00",2019
286,Baxter International,"50,000",-3,"$11,127.00",5.40%,"$1,624.00",126.50%,"$15,641.00","$41,559.00",2019
287,Lam Research,"10,900",67,"$11,077.00",38.20%,"$2,380.70",40.20%,"$12,480.00","$27,316.00",2019
288,Entergy,"13,688",-14,"$11,010.00",-0.60%,$848.70,106.20%,"$48,275.00","$18,215.00",2019
289,Charles Schwab,"19,500",41,"$10,989.00",22.60%,"$3,507.00",49.00%,"$296,482.00","$57,051.00",2019
290,L3 Technologies,"31,000",-14,"$10,841.00",-1.50%,"$1,005.00",48.40%,"$13,518.00","$16,368.00",2019
291,NRG Energy,"4,862",-22,"$10,797.00",-4.20%,$268.00,-,"$10,628.00","$11,851.00",2019
292,Live Nation Entertainment,"16,000",-2,"$10,788.00",4.40%,$60.20,-,"$8,497.00","$13,401.00",2019
293,Universal Health Services,"75,650",-25,"$10,772.00",-4.50%,$779.70,3.60%,"$11,266.00","$12,144.00",2019
294,Molson Coors Brewing,"17,750",-19,"$10,770.00",-2.10%,"$1,116.50",-28.70%,"$30,110.00","$12,958.00",2019
295,eBay,"14,000",14,"$10,746.00",12.30%,"$2,530.00",-,"$22,819.00","$33,979.00",2019
296,AES,"9,000",-82,"$10,736.00",-22.50%,"$1,203.00",-,"$32,521.00","$11,975.00",2019
297,Devon Energy,"2,880",-84,"$10,734.00",-23.00%,"$3,064.00",241.20%,"$19,566.00","$13,833.00",2019
298,Pacific Life,"3,776",15,"$10,699.00",12.50%,$913.00,-33.10%,"$157,699.00",-,2019
299,CenterPoint Energy,"7,977",9,"$10,589.00",10.10%,$368.00,-79.50%,"$27,009.00","$15,394.00",2019
300,Discovery,"9,000",109,"$10,553.00",53.50%,$594.00,-,"$32,550.00","$13,633.00",2019
301,BorgWarner,"30,000",-,"$10,530.00",7.50%,$930.70,111.60%,"$10,095.00","$7,974.00",2019
302,Targa Resources,"2,460",32,"$10,484.00",18.90%,$1.60,-97.00%,"$16,938.00","$9,646.00",2019
303,Ally Financial,"8,200",-4,"$10,466.00",6.10%,"$1,263.00",36.00%,"$178,869.00","$11,025.00",2019
304,SunTrust Banks,"22,899",-1,"$10,431.00",7.10%,"$2,775.00",22.10%,"$215,543.00","$26,263.00",2019
305,IQVIA Holdings,"58,000",-1,"$10,412.00",6.90%,$259.00,-80.20%,"$22,549.00","$28,281.00",2019
306,American Family Insurance Group,"11,975",5,"$10,336.00",8.30%,$295.30,89.70%,"$27,503.00",-,2019
307,Delek US Holdings,"3,717",77,"$10,266.00",39.70%,$340.10,17.80%,"$5,761.00","$2,822.00",2019
308,Navistar International,"13,100",34,"$10,250.00",19.60%,$340.00,1033.30%,"$7,230.00","$3,200.00",2019
309,Chesapeake Energy,"2,350",5,"$10,231.00",7.70%,$873.00,-8.00%,"$10,947.00","$5,058.00",2019
310,United Natural Foods,"10,000",9,"$10,227.00",10.30%,$165.70,27.30%,"$2,965.00",$672.00,2019
311,Leidos Holdings,"32,000",-19,"$10,194.00",0.20%,$581.00,58.70%,"$8,770.00","$9,205.00",2019
312,PulteGroup,"5,086",29,"$10,188.00",18.80%,"$1,022.00",128.50%,"$10,173.00","$7,758.00",2019
313,Eastman Chemical,"14,595",-3,"$10,151.00",6.30%,"$1,080.00",-22.00%,"$15,995.00","$10,531.00",2019
314,Republic Services,"36,000",-18,"$10,041.00",0.00%,"$1,036.90",-18.90%,"$21,617.00","$25,852.00",2019
315,Mohawk Industries,"42,100",-,"$9,984.00",5.20%,$861.70,-11.30%,"$13,099.00","$9,122.00",2019
316,Sonic Automotive,"9,700",-18,"$9,952.00",0.90%,$51.70,-44.50%,"$3,797.00",$637.00,2019
317,Owens & Minor,"17,900",1,"$9,839.00",5.60%,-$437.00,-700.30%,"$3,774.00",$258.00,2019
318,Xerox,"32,400",-27,"$9,830.00",-4.20%,$361.00,85.10%,"$14,874.00","$7,308.00",2019
319,Boston Scientific,"32,000",9,"$9,823.00",8.60%,"$1,671.00",1506.70%,"$20,999.00","$53,367.00",2019
320,DCP Midstream,"2,650",24,"$9,822.00",16.10%,$298.00,30.10%,"$14,266.00","$4,737.00",2019
321,Autoliv,"62,091",-32,"$9,801.00",-5.60%,$190.40,-55.40%,"$6,722.00","$6,413.00",2019
322,Interpublic Group,"54,000",37,"$9,714.00",23.20%,$618.90,6.90%,"$15,620.00","$8,087.00",2019
323,Public Service Enterprise Group,"13,145",4,"$9,696.00",6.70%,"$1,438.00",-8.60%,"$45,326.00","$30,002.00",2019
324,PVH,"29,350",8,"$9,657.00",8.30%,$746.40,38.80%,"$11,864.00","$9,164.00",2019
325,Mosaic,"13,600",57,"$9,587.00",29.40%,$470.00,-,"$20,119.00","$10,527.00",2019
326,Advance Auto Parts,"55,500",-9,"$9,581.00",2.20%,$423.80,-10.90%,"$9,041.00","$12,222.00",2019
327,Altice USA,"11,993",-,"$9,567.00",2.60%,$18.80,-98.80%,"$33,614.00","$14,708.00",2019
328,Hormel Foods,"20,100",-5,"$9,546.00",4.10%,"$1,012.10",19.50%,"$8,142.00","$23,977.00",2019
329,O'Reilly Automotive,"64,325",-,"$9,536.00",6.20%,"$1,324.50",16.80%,"$7,981.00","$30,438.00",2019
330,Calpine,"2,282",6,"$9,512.00",8.70%,$10.00,-,"$16,062.00",-,2019
331,Hertz Global Holdings,"38,000",4,"$9,504.00",8.00%,-$225.00,-168.80%,"$21,382.00","$1,458.00",2019
332,First Data,"19,000",-78,"$9,498.00",-21.20%,"$1,005.00",-31.40%,"$38,327.00","$24,767.00",2019
333,Pioneer Natural Resources,"3,177",164,"$9,415.00",72.60%,$978.00,17.40%,"$17,903.00","$25,639.00",2019
334,Coty,"20,000",37,"$9,398.00",22.80%,-$168.80,-,"$22,630.00","$8,640.00",2019
335,AGCO,"21,200",12,"$9,352.00",12.60%,$285.50,53.20%,"$7,626.00","$5,335.00",2019
336,Mutual of Omaha Insurance,"6,314",1,"$9,347.00",7.00%,$277.30,-67.90%,"$43,913.00",-,2019
337,Vistra Energy,"5,275",162,"$9,144.00",68.40%,-$54.00,-,"$26,024.00","$12,648.00",2019
338,Avis Budget Group,"25,600",-5,"$9,124.00",3.10%,$165.00,-54.30%,"$19,149.00","$2,646.00",2019
339,Adobe,"21,357",50,"$9,030.00",23.70%,"$2,590.80",52.90%,"$18,769.00","$130,034.00",2019
340,Peter Kiewit Sons',"20,000",-1,"$9,025.00",4.00%,$468.00,26.10%,"$4,760.00",-,2019
341,News Corp.,"28,000",9,"$9,024.00",10.90%,"-$1,514.00",-,"$16,346.00","$7,287.00",2019
342,Brighthouse Financial,"1,260",-,"$8,965.00",-,$865.00,-,"$206,294.00","$4,230.00",2019
343,Voya Financial,"6,000",-36,"$8,934.00",-7.50%,$875.00,-,"$154,682.00","$7,291.00",2019
344,Air Products & Chemicals,"16,150",1,"$8,930.00",5.80%,"$1,497.80",-50.10%,"$19,178.00","$41,941.00",2019
345,Hilton Worldwide Holdings,"169,000",-21,"$8,906.00",-2.60%,$764.00,-39.30%,"$13,995.00","$24,293.00",2019
346,GameStop,"33,000",-24,"$8,851.00",-4.10%,-$673.00,-2039.50%,"$4,044.00","$1,036.00",2019
347,Veritiv,"8,700",-1,"$8,696.00",4.00%,-$15.70,-,"$2,530.00",$419.00,2019
348,Williams,"5,322",5,"$8,686.00",8.20%,-$155.00,-107.10%,"$45,302.00","$34,801.00",2019
349,Campbell Soup,"23,000",9,"$8,685.00",10.10%,$261.00,-70.60%,"$14,529.00","$11,482.00",2019
350,Rockwell Collins,"31,200",65,"$8,665.00",27.00%,"$1,032.00",46.40%,"$19,026.00",-,2019
351,Thrivent Financial for Lutherans,"3,708",-8,"$8,635.00",1.30%,"$1,233.90",121.00%,"$94,483.00",-,2019
352,Westlake Chemical,"8,870",-,"$8,635.00",7.40%,$996.00,-23.60%,"$11,602.00","$8,718.00",2019
353,Univar,"8,500",-4,"$8,633.00",4.60%,$172.30,43.80%,"$5,272.00","$3,761.00",2019
354,J.B. Hunt Transport Services,"27,621",41,"$8,615.00",19.80%,$489.60,-28.70%,"$5,092.00","$11,014.00",2019
355,Frontier Communications,"21,173",-30,"$8,611.00",-5.70%,-$643.00,-,"$23,659.00",$210.00,2019
356,Jones Financial (Edward Jones),"47,000",20,"$8,594.00",13.10%,$990.00,13.50%,"$15,815.00",-,2019
357,National Oilwell Varco,"34,642",31,"$8,453.00",15.70%,-$31.00,-,"$19,796.00","$10,215.00",2019
358,Eversource Energy,"7,998",6,"$8,448.00",9.00%,"$1,033.00",4.60%,"$38,241.00","$22,513.00",2019
359,Dick's Sporting Goods,"27,950",-19,"$8,437.00",-1.80%,$319.90,-1.10%,"$4,187.00","$3,545.00",2019
360,Genworth Financial,"3,500",-12,"$8,430.00",1.60%,$119.00,-85.40%,"$100,923.00","$1,919.00",2019
361,Fidelity National Information Services,"47,000",-35,"$8,423.00",-7.70%,$846.00,-35.90%,"$23,770.00","$36,547.00",2019
362,Yum China Holdings,"450,000",35,"$8,415.00",17.80%,$708.00,75.70%,"$4,610.00","$17,019.00",2019
363,Ryder System,"39,600",24,"$8,409.00",14.70%,$273.30,-65.40%,"$13,051.00","$3,303.00",2019
364,Anixter International,"9,300",-7,"$8,400.00",6.00%,$156.30,43.40%,"$4,653.00","$1,879.00",2019
365,Caesars Entertainment,"66,000",-,"$8,391.00",72.90%,$303.00,-,"$25,775.00","$5,824.00",2019
366,Masco,"26,000",7,"$8,359.00",9.40%,$734.00,37.70%,"$5,393.00","$11,569.00",2019
367,Thor Industries,"17,500",25,"$8,329.00",14.90%,$430.20,14.90%,"$2,779.00","$3,434.00",2019
368,Alaska Air Group,"23,376",-13,"$8,264.00",4.20%,$437.00,-57.70%,"$10,912.00","$6,937.00",2019
369,Amphenol,"73,600",34,"$8,202.00",17.00%,"$1,205.00",85.20%,"$10,045.00","$28,151.00",2019
370,WESCO International,"9,100",-,"$8,177.00",6.50%,$227.30,39.10%,"$4,605.00","$2,396.00",2019
371,Huntington Ingalls Industries,"40,000",10,"$8,176.00",9.90%,$836.00,74.50%,"$6,383.00","$8,631.00",2019
372,Jefferies Financial Group,"4,700",-131,"$8,152.00",-34.30%,"$1,026.80",497.90%,"$47,131.00","$5,687.00",2019
373,Dana,"30,900",20,"$8,143.00",13.00%,$427.00,284.70%,"$5,918.00","$2,545.00",2019
374,Expeditors Intl. of Washington,"17,400",34,"$8,138.00",17.60%,$618.20,26.30%,"$3,315.00","$13,044.00",2019
375,EMCOR Group,"33,000",-7,"$8,131.00",5.80%,$283.50,24.80%,"$4,089.00","$4,092.00",2019
376,Darden Restaurants,"180,656",20,"$8,080.00",12.70%,$596.00,24.40%,"$5,470.00","$15,003.00",2019
377,SpartanNash,"11,400",-26,"$8,065.00",-0.80%,$33.60,-,"$1,972.00",$571.00,2019
378,Assurant,"14,250",62,"$8,058.00",25.60%,$251.00,-51.70%,"$41,089.00","$5,854.00",2019
379,United Rentals,"18,500",45,"$8,047.00",21.20%,"$1,096.00",-18.60%,"$18,133.00","$9,002.00",2019
380,Liberty Media,"4,641",-3,"$8,040.00",5.90%,$531.00,-60.80%,"$40,828.00","$12,350.00",2019
381,Erie Insurance Group,"5,547",-3,"$8,031.00",6.60%,$686.30,-20.00%,"$21,178.00",-,2019
382,Auto-Owners Insurance,"5,517",-7,"$7,999.00",5.20%,$754.50,16.80%,"$24,476.00",-,2019
383,Cheniere Energy,"1,372",106,"$7,987.00",42.60%,$471.00,-,"$31,987.00","$17,597.00",2019
384,Fifth Third Bancorp,"17,437",-18,"$7,973.00",3.40%,"$2,193.00",0.00%,"$146,069.00","$19,447.00",2019
385,Foot Locker,"32,401",-22,"$7,939.00",2.00%,$541.00,90.50%,"$3,820.00","$6,841.00",2019
386,Conagra Brands,"12,400",-65,"$7,938.00",-14.00%,$808.40,26.50%,"$10,390.00","$13,472.00",2019
387,Zimmer Biomet Holdings,"19,800",-26,"$7,933.00",1.40%,-$379.20,-120.90%,"$24,127.00","$26,125.00",2019
388,Tractor Supply,"22,000",3,"$7,911.00",9.00%,$532.40,26.00%,"$3,085.00","$11,840.00",2019
389,Berry Global Group,"24,000",10,"$7,869.00",10.90%,$496.00,45.90%,"$9,131.00","$7,025.00",2019
390,Alliance Data Systems,"20,000",-25,"$7,791.00",0.90%,$963.10,22.10%,"$30,388.00","$9,274.00",2019
391,Hershey,"15,675",-12,"$7,791.00",3.70%,"$1,177.60",50.40%,"$7,703.00","$23,944.00",2019
392,PPL,"12,444",-12,"$7,785.00",4.50%,"$1,827.00",62.00%,"$43,396.00","$22,883.00",2019
393,Dean Foods,"15,000",-31,"$7,755.00",-0.50%,-$326.90,-630.80%,"$2,119.00",$278.00,2019
394,Builders FirstSource,"15,000",6,"$7,725.00",9.80%,$205.20,429.10%,"$2,932.00","$1,539.00",2019
395,Oshkosh,"15,000",19,"$7,706.00",12.80%,$471.90,65.20%,"$5,294.00","$5,263.00",2019
396,EnLink Midstream,"1,449",-,"$7,699.00",34.10%,-$13.20,-106.20%,"$10,694.00","$6,219.00",2019
397,W.R. Berkley,"7,448",-28,"$7,692.00",0.10%,$640.70,16.70%,"$24,896.00","$10,337.00",2019
398,WEC Energy Group,"7,878",-26,"$7,680.00",0.40%,"$1,059.30",-12.00%,"$33,476.00","$24,946.00",2019
399,JetBlue Airways,"18,268",3,"$7,658.00",9.20%,$188.00,-83.60%,"$10,426.00","$5,015.00",2019
400,UGI,"13,000",57,"$7,651.00",25.00%,$718.70,64.60%,"$11,981.00","$9,634.00",2019
401,A-Mark Precious Metals,184,3,"$7,606.00",8.80%,-$3.40,-147.90%,$743.00,$84.00,2019
402,Fidelity National Financial,"23,436",-100,"$7,594.00",-22.30%,$628.00,-18.50%,"$9,301.00","$10,063.00",2019
403,Constellation Brands,"9,600",-17,"$7,585.00",3.50%,"$2,318.90",51.10%,"$20,539.00","$33,210.00",2019
404,Quest Diagnostics,"46,000",-37,"$7,531.00",-2.30%,$736.00,-4.70%,"$11,003.00","$12,073.00",2019
405,Activision Blizzard,"9,900",-4,"$7,500.00",6.90%,"$1,813.00",564.10%,"$17,835.00","$34,777.00",2019
406,Weyerhaeuser,"9,300",-12,"$7,476.00",3.90%,$748.00,28.50%,"$17,249.00","$19,663.00",2019
407,Raymond James Financial,"13,900",24,"$7,476.00",14.60%,$856.70,34.70%,"$37,413.00","$11,341.00",2019
408,Casey's General Stores,"27,561",17,"$7,472.00",12.50%,$317.90,79.10%,"$3,470.00","$4,717.00",2019
409,Keurig Dr Pepper,"25,500",9,"$7,442.00",11.20%,$586.00,-45.50%,"$48,918.00","$39,328.00",2019
410,American Tower,"5,026",9,"$7,440.00",11.60%,"$1,236.40",-0.20%,"$33,010.00","$86,930.00",2019
411,Apache,"3,420",27,"$7,424.00",15.60%,$40.00,-96.90%,"$21,582.00","$13,012.00",2019
412,Dover,"24,000",-52,"$7,396.00",-5.60%,$570.30,-29.70%,"$8,366.00","$13,621.00",2019
413,KeyCorp,"18,180",-1,"$7,393.00",7.60%,"$1,866.00",44.00%,"$139,613.00","$15,888.00",2019
414,J.M. Smucker,"7,000",-31,"$7,357.00",-0.50%,"$1,338.60",126.00%,"$15,301.00","$13,252.00",2019
415,Citizens Financial Group,"18,140",20,"$7,354.00",13.90%,"$1,721.00",4.20%,"$160,518.00","$14,963.00",2019
416,Motorola Solutions,"16,000",27,"$7,343.00",15.10%,$966.00,-,"$9,409.00","$23,090.00",2019
417,Magellan Health,"10,500",58,"$7,314.00",25.30%,$24.20,-78.10%,"$2,979.00","$1,577.00",2019
418,American Axle & Manufacturing,"25,000",31,"$7,270.00",16.00%,-$57.50,-117.10%,"$7,511.00","$1,599.00",2019
419,Newmont Goldcorp,"12,442",-34,"$7,253.00",-1.30%,$341.00,-,"$20,715.00","$19,054.00",2019
420,Spirit AeroSystems Holdings,"17,000",-15,"$7,222.00",3.40%,$617.00,73.90%,"$5,686.00","$9,672.00",2019
421,Western & Southern Financial Group,"2,769",55,"$7,205.00",23.50%,$495.00,59.40%,"$50,636.00",-,2019
422,Fortive,"24,000",-2,"$7,203.00",8.20%,"$2,913.80",179.00%,"$12,906.00","$28,072.00",2019
423,Graybar Electric,"8,700",3,"$7,203.00",8.60%,$143.30,100.10%,"$2,491.00",-,2019
424,NVR,"5,600",20,"$7,190.00",13.70%,$797.20,48.30%,"$3,166.00","$10,037.00",2019
425,Avery Dennison,"30,000",2,"$7,159.00",8.20%,$467.40,65.90%,"$5,178.00","$9,489.00",2019
426,Celanese,"7,684",29,"$7,155.00",16.50%,"$1,207.00",43.20%,"$9,313.00","$12,607.00",2019
427,American Financial Group,"7,600",-14,"$7,150.00",4.20%,$530.00,11.60%,"$63,456.00","$8,593.00",2019
428,Toll Brothers,"4,900",52,"$7,143.00",22.80%,$748.20,39.70%,"$10,245.00","$5,283.00",2019
429,Sanmina,"41,200",-18,"$7,110.00",3.50%,-$95.50,-168.80%,"$4,085.00","$1,974.00",2019
430,Insight Enterprises,"7,420",-13,"$7,080.00",5.60%,$163.70,80.50%,"$2,776.00","$1,955.00",2019
431,Owens Corning,"20,000",11,"$7,057.00",10.50%,$545.00,88.60%,"$9,771.00","$5,163.00",2019
432,Packaging Corp. of America,"15,000",4,"$7,015.00",8.80%,$738.00,10.40%,"$6,570.00","$9,391.00",2019
433,TravelCenters of America,"18,277",32,"$6,974.00",15.20%,-$120.60,-1401.60%,"$1,442.00",$166.00,2019
434,Olin,"6,500",14,"$6,946.00",10.80%,$327.90,-40.30%,"$8,997.00","$3,816.00",2019
435,Arthur J. Gallagher,"30,362",19,"$6,934.00",12.60%,$633.50,36.80%,"$16,334.00","$14,466.00",2019
436,MasTec,"19,000",-8,"$6,909.00",4.60%,$259.70,-25.20%,"$4,440.00","$3,657.00",2019
437,Alleghany,"9,300",-,"$6,887.00",7.20%,$39.50,-56.10%,"$25,345.00","$8,855.00",2019
438,Owens-Illinois,"26,500",-28,"$6,877.00",0.10%,$257.00,42.80%,"$9,699.00","$2,916.00",2019
439,Asbury Automotive Group,"8,200",-5,"$6,874.00",6.50%,$168.00,20.80%,"$2,695.00","$1,353.00",2019
440,CMS Energy,"8,291",-11,"$6,873.00",4.40%,$657.00,42.80%,"$24,529.00","$15,760.00",2019
441,Markel,"17,400",23,"$6,841.00",12.90%,-$128.20,-132.40%,"$33,306.00","$13,813.00",2019
442,Blackstone Group,"2,615",-44,"$6,833.00",-4.00%,"$1,541.80",4.80%,"$28,925.00","$23,031.00",2019
443,AK Steel Holding,"9,500",18,"$6,818.00",12.10%,$186.00,2900.00%,"$4,516.00",$870.00,2019
444,Hanesbrands,"68,000",-11,"$6,804.00",5.00%,$553.10,793.60%,"$7,256.00","$6,463.00",2019
445,R.R. Donnelley & Sons,"39,500",-39,"$6,800.00",-2.00%,-$11.00,-,"$3,641.00",$333.00,2019
446,Wayfair,"12,124",-,"$6,779.00",43.60%,-$504.10,-,"$1,891.00","$13,524.00",2019
447,Regions Financial,"19,969",13,"$6,762.00",11.00%,"$1,759.00",39.30%,"$125,688.00","$14,401.00",2019
448,Wynn Resorts,"26,000",-1,"$6,718.00",6.50%,$572.40,-23.40%,"$13,216.00","$12,844.00",2019
449,Ulta Beauty,"30,000",22,"$6,717.00",14.10%,$658.60,18.60%,"$3,191.00","$20,684.00",2019
450,Regeneron Pharmaceuticals,"7,400",23,"$6,711.00",14.30%,"$2,444.40",104.00%,"$11,735.00","$44,871.00",2019
451,Burlington Stores,"44,000",8,"$6,669.00",9.10%,$414.70,7.80%,"$3,079.00","$10,510.00",2019
452,Rockwell Automation,"23,000",-7,"$6,666.00",5.60%,$535.50,-35.10%,"$6,262.00","$20,975.00",2019
453,Northern Trust,"18,800",33,"$6,659.00",16.50%,"$1,556.40",29.80%,"$132,213.00","$19,754.00",2019
454,Chemours,"7,000",-3,"$6,638.00",7.40%,$995.00,33.40%,"$7,362.00","$6,179.00",2019
455,Seaboard,"12,600",26,"$6,583.00",13.30%,-$17.00,-106.90%,"$5,307.00","$5,002.00",2019
456,Marathon Oil,"2,400",-,"$6,582.00",27.70%,"$1,096.00",-,"$21,321.00","$13,677.00",2019
457,Ascena Retail Group,"39,500",-34,"$6,578.00",-1.10%,-$39.70,-,"$3,571.00",$213.00,2019
458,Dillard's,"31,005",-19,"$6,503.00",1.30%,$170.30,-23.10%,"$3,431.00","$1,898.00",2019
459,Cintas,"41,000",41,"$6,487.00",19.50%,$842.60,75.30%,"$6,958.00","$21,208.00",2019
460,Advanced Micro Devices,"10,100",-,"$6,475.00",21.50%,$337.00,683.70%,"$4,556.00","$27,602.00",2019
461,Hess,"1,708",-,"$6,466.00",19.60%,-$282.00,-,"$21,433.00","$18,252.00",2019
462,M&T Bank Corp.,"16,840",5,"$6,455.00",7.20%,"$1,918.10",36.20%,"$120,097.00","$21,741.00",2019
463,ABM Industries,"140,000",35,"$6,442.00",18.10%,$97.80,2473.70%,"$3,628.00","$2,408.00",2019
464,Beacon Roofing Supply,"8,356",-,"$6,418.00",46.60%,$98.60,-2.20%,"$6,509.00","$2,201.00",2019
465,NCR,"34,000",-33,"$6,405.00",-1.70%,-$88.00,-137.90%,"$7,761.00","$3,246.00",2019
